name,price,address,hours,phone,closed,gPlusPlaceId,gps
Polo Club Cranbrook,,"['14531 Ella Blvd', 'San Diego, TX 77014']","[['Monday', [['9:00 am--6:00 pm']]], ['Tuesday', [['9:00 am--6:00 pm']]], ['Wednesday', [['9:00 am--6:00 pm']], 1], ['Thursday', [['9:00 am--6:00 pm']]], ['Friday', [['9:00 am--6:00 pm']]], ['Saturday', [['10:00 am--5:00 pm']]], ['Sunday', [['1:00--5:00 pm']]]]",(281) 872-1222,False,111230142112807464303,"[29.979443, -95.439439]"
"Metallurgical Supply Co., Inc.",,"['9137 Spring Branch Dr', 'San Diego, TX 77080']","[['Monday', [['8:00 am--5:00 pm']]], ['Tuesday', [['8:00 am--5:00 pm']]], ['Wednesday', [['8:00 am--5:00 pm']], 1], ['Thursday', [['8:00 am--5:00 pm']]], ['Friday', [['8:00 am--5:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['Closed']]]]",(713) 827-0700,False,110010424507285869472,"[29.803063, -95.51444]"
Cherry Park Automotive,,"['7625 Cherry Park Dr', 'San Diego, TX 77095']",,(832) 593-0077,False,110139012367586626176,"[29.889588, -95.640896]"
Realty Star Group,,"['2630 Fountain View Dr #435', 'San Diego, TX 77057']",,(713) 255-9300,False,101433513990017128651,"[29.740548, -95.485787]"
Ziafat Ebrahim MD,,"['515 W Little York Rd', 'San Diego, TX 77091']",,(713) 691-3999,False,101764835094413113405,"[29.869361, -95.408903]"
Todd Overstreet Law Office,,"['1214 Heights Blvd', 'San Diego, TX 77008']","[['Monday', [['9:00 am--5:00 pm']]], ['Tuesday', [['9:00 am--5:00 pm']]], ['Wednesday', [['9:00 am--5:00 pm']]], ['Thursday', [['9:00 am--5:00 pm']], 1], ['Friday', [['9:00 am--5:00 pm']]], ['Saturday', [['Closed']]], ['Sunday', [['Closed']]]]",(713) 222-0600,False,116314250720078946670,"[29.793126, -95.397266]"
Munday Mazda,,"['555 Fm 1960 W', 'San Diego, TX 77090']","[['Monday', [['9:00 am--9:00 pm']]], ['Tuesday', [['9:00 am--9:00 pm']]], ['Wednesday', [['9:00 am--9:00 pm']], 1], ['Thursday', [['9:00 am--9:00 pm']]], ['Friday', [['9:00 am--9:00 pm']]], ['Saturday', [['9:00 am--9:00 pm']]], ['Sunday', [['Closed']]]]",(281) 583-3400,False,115211704606820175899,"[30.018052, -95.437272]"
Queen Burger,,"['1802 W 18th St', 'San Diego, TX 77008']","[['Monday', [['10:00 am--10:00 pm']]], ['Tuesday', [['10:00 am--10:00 pm']]], ['Wednesday', [['10:00 am--10:00 pm']], 1], ['Thursday', [['10:00 am--10:00 pm']]], ['Friday', [['10:00 am--10:00 pm']]], ['Saturday', [['11:00 am--10:00 pm']]], ['Sunday', [['Closed']]]]",(713) 869-1830,True,113173561791286988431,"[29.801546, -95.430017]"
Reynolds & Reynolds Co,,"['6700 Hollister St', 'San Diego, TX 77040']",,(713) 718-1800,False,103632050042504315334,"[29.859599, -95.503936]"
Tadros Dental,,"['11880 Farm-to-Market 1960 Rd W', 'San Diego, TX 77065']","[['Monday', [['9:00 am--5:00 pm']]], ['Tuesday', [['9:00 am--5:00 pm']]], ['Wednesday', [['1:00--7:00 pm']], 1], ['Thursday', [['1:00--7:00 pm']]], ['Friday', [['9:00 am--5:00 pm']]], ['Saturday', [['9:00 am--5:00 pm']]], ['Sunday', [['Closed']]]]",(281) 664-2244,False,115434719550478353770,"[29.92572, -95.597082]"
